,popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
3785,12.238,759,False,/h0nz5lIBXeUZChBNfwL08bLWQaU.jpg,515248,False,/aVYien6hGy4RQzzepZg1q9cwSzE.jpg,en,Someone Great,"[35, 10749]",Someone Great,6.5,"An aspiring music journalist lands her dream job and is about to move to San Francisco when her boyfriend of nine years decides to call it quits. To nurse her broken heart, she and her two best friends spend one outrageous last adventure in New York City.",2019-04-19
3786,12.326,615,False,/4glaIcIRw0IVmQKWYVK6CIo0zaU.jpg,1957,False,/jHE8mDajZ90sHlo3j2qtcVErDvZ.jpg,en,Enough,"[18, 53]",Enough,6.5,"Working-class waitress Slim thought she was entering a life of domestic bliss when she married Mitch, the man of her dreams. After the arrival of their first child, her picture perfect life is shattered when she discovers Mitch's hidden possessive dark side, a controlling and abusive alter ego that can turn trust, love and tranquility into terror. Terrified for her child's safety, Slim flees with her daughter. Relentless in his pursuit and enlisting the aid of lethal henchmen, Mitch continually stalks the prey that was once his family.",2002-05-21
3787,11.98,748,False,/aOzppW9lAWKpYVqdsObWvGetxFo.jpg,193,False,/aBMLpWsWXPOoTnbK37VKuQA0q0s.jpg,en,Star Trek: Generations,"[28, 12, 878, 53]",Star Trek: Generations,6.5,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,1994-11-18
3788,14.709,422,False,/liW0mjvTyLs7UCumaHhx3PpU4VT.jpg,123,False,/j2Ojh23iL4T5uNbEFwCikjXQXjF.jpg,en,The Lord of the Rings,"[12, 16, 18, 14, 10751]",The Lord of the Rings,6.5,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,1978-11-15
3789,10.129,282,False,/etjgNJvuNW2205EdZRMHFPKQpxS.jpg,2617,False,/zkURY6E83XO6M6E7mAyGQRqg57E.jpg,en,The Great Outdoors,[35],The Great Outdoors,6.5,"It's vacation time for outdoorsy Chicago man Chet Ripley, along with his wife, Connie, and their two kids, Buck and Ben. But a serene weekend of fishing at a Wisconsin lakeside cabin gets crashed by Connie's obnoxious brother-in-law, Roman Craig, his wife, Kate, and the couple's two daughters. As the excursion wears on, the Ripleys find themselves at odds with the stuffy Craig family.",1988-06-17
3790,29.17,2647,False,/cQvc9N6JiMVKqol3wcYrGshsIdZ.jpg,345887,False,/a24i4Qw6qFTtkFLQsncv8WPwevj.jpg,en,The Equalizer 2,"[53, 28, 80]",The Equalizer 2,6.5,"Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when a long-time girl friend is murdered.",2018-07-19
3791,10.973,1477,False,/cWaIYyFPRiuMf0xRhqfOgtAe7Rn.jpg,229297,False,/eIOLmLhRQPC44u5YyyPVw6BNhFZ.jpg,en,Magic in the Moonlight,"[35, 18, 10749]",Magic in the Moonlight,6.5,"Set in the 1920s French Riviera, a master magician is commissioned to try and expose a psychic as a fraud.",2014-07-25
3792,14.831,3453,False,/exqIDix2tu6F7fv8Mqlf9qlhlZv.jpg,39513,False,/gztzdt8GHyra7ta2Fjwydn6MaY.jpg,en,Paul,"[12, 35, 878]",Paul,6.5,"For the past 60 years, a space-traveling smart-ass named Paul has been locked up in a top-secret military base, advising world leaders about his kind. But when he worries he’s outlived his usefulness and the dissection table is drawing uncomfortably close, Paul escapes on the first RV that passes by his compound in Area 51. Fortunately, it contains the two earthlings who are most likely to rescue and harbor an alien on the run.",2011-02-14
3793,10.859,238,False,/sO9ZZsqDfreFxiCPrUuBYeqsAHi.jpg,10503,False,,en,Happy-Go-Lucky,"[35, 18]",Happy-Go-Lucky,6.5,"A look at a few chapters in the life of Poppy, a cheery, colorful, North London schoolteacher whose optimism tends to exasperate those around her.",2008-04-18
3794,13.617,515,False,/uHgwihLriUCPlOucBVOh1gPep2x.jpg,4413,False,/43LrY9DZ1YhgrOxnrJ3BASz8zCx.jpg,en,The Brave One,"[80, 18, 53]",The Brave One,6.5,A woman struggles to recover from a brutal attack by setting out on a mission for revenge.,2007-09-14
